date,max_temp,min_temp,precip,snow,usgs_well,comments,,,
7/6/1984,30,19,0,0,,,,,
7/7/1984,29,14.5,0.9,0,,,,,
7/8/1984,25,9,0.01,0,,,,,
7/9/1984,28,11,0,0,,,,,
7/10/1984,31,13.5,0.44,0,,Thunderstorm,,,
7/11/1984,35,18,0.04,0,,Thunderstorm,,,
7/12/1984,31,19.5,0.22,0,,,,,
7/13/1984,32,14,0,0,,,,,
7/14/1984,33,15,0,0,,,,,
7/15/1984,32.5,16,0.07,0,,,,,
7/16/1984,33.5,22,0.07,0,,,,,
7/17/1984,31,16,0,0,,,,,
7/18/1984,30.5,9,1,0,,,,,
7/19/1984,27.5,14,0.01,0,,,,,
7/20/1984,29.5,13,0,0,,Readings taken at 11:00 a.m.,,,
7/21/1984,25.5,10,0.92,0,,Thunderstorm,,,
7/22/1984,31,9,0.05,0,,,,,
7/23/1984,31,19,0.26,0,,,,,
7/24/1984,32,20,0,0,,,,,
7/25/1984,28,8,0.01,0,,Readings taken at 11:00 a.m.,,,
7/26/1984,27,9,0.01,0,,,,,
7/27/1984,21.5,11,0.28,0,,,,,
7/28/1984,25,13,0.01,0,,,,,
7/29/1984,25,14,0,0,,,,,
7/30/1984,22,16,0,0,,,,,
7/31/1984,30,13,0,0,,,,,
8/1/1984,32,17,0,0,,,,,
8/2/1984,32,21,0.66,0,,,,,
8/3/1984,31,25,1.05,0,,,,,
8/4/1984,30.5,19,0.05,0,,,,,
8/5/1984,30,20,0.01,0,,,,,
8/6/1984,31,17,0,0,,,,,
8/7/1984,32,19,0.02,0,,,,,
8/8/1984,32.5,19,0,0,,,,,
8/9/1984,33,20,0,0,,,,,
8/10/1984,31,20,0.26,0,,,,,
8/11/1984,26.5,20.5,2.05,0,,,,,
8/12/1984,27,21,0.28,0,,,,,
8/13/1984,29.5,25,0.03,0,,,,,
8/14/1984,29,21,0.72,0,,,,,
8/15/1984,30,17,0.18,0,,,,,
8/16/1984,32,16,0.01,0,,,,,
8/17/1984,31.5,17,0,0,,,,,
8/18/1984,28.5,16,0,0,,,,,
8/19/1984,29.5,18,0,0,,,,,
8/20/1984,25.5,12.5,0,0,,,,,
8/21/1984,27,9,0,0,,,,,
8/22/1984,30,12.5,0,0,,,,,
8/23/1984,33.5,15,0.82,0,,,,,
8/24/1984,26,12,0.01,0,,,,,
8/25/1984,26.5,9,0,0,,,,,
8/26/1984,28,9,0,0,,,,,
8/27/1984,30,11,0,0,,,,,
8/28/1984,30.5,15,0,0,,,,,
8/29/1984,30.5,16.5,0.68,0,,,,,
8/30/1984,33,17,0.01,0,,,,,
8/31/1984,28,17,0,0,,,,,
9/1/1984,26,10.5,0,0,,,,,
9/2/1984,33,13,0,0,,,,,
9/3/1984,32.5,17,0,0,,,,,
9/4/1984,22.5,17,0.38,0,,Readings taken at 1:00 p.m.,,,
9/5/1984,23,7,0.01,0,,,,,
9/6/1984,23,7.5,0.02,0,,,,,
9/7/1984,23.5,4,0,0,,,,,
9/8/1984,24,6.5,0,0,,,,,
9/9/1984,26,11,0,0,,Readings taken at 11:30 a.m.,,,
9/10/1984,28,18,0,0,,Readings taken at 11:00 a.m.,,,
9/11/1984,30,13,0,0,,,,,
9/12/1984,27,12,0,0,,,,,
9/13/1984,29,12.5,0,0,,,,,
9/14/1984,30.5,12,0,0,,,,,
9/15/1984,22,15,0,0,,,,,
9/16/1984,20,0,0,0,,,,,
9/17/1984,21,1,0,0,,,,,
9/18/1984,22,6,0,0,,,,,
9/19/1984,27,2,0,0,,,,,
9/20/1984,30,8,0,0,,,,,
9/21/1984,27.5,11,0,0,,,,,
9/22/1984,28,12,0,0,,,,,
9/23/1984,31,11,0,0,,,,,
9/24/1984,32.5,17,0,0,,,,,
9/25/1984,30.5,17.5,0.01,0,,,,,
9/26/1984,21,14,0.01,0,,,,,
9/27/1984,13.5,0,0,0,,,,,
9/28/1984,11.5,5,0.66,0,,,,,
9/29/1984,15,5,0.11,0,,,,,
9/30/1984,18,4,0.02,0,,,,,
10/1/1984,14,9,1.35,0,,,,,
10/2/1984,17.5,5.5,0.1,0,,,,,
10/3/1984,22,3,0.02,0,,,,,
10/4/1984,23.5,2,0,0,,,,,
10/5/1984,22,7.5,0,0,,,,,
10/6/1984,17,5,0,0,,,,,
10/7/1984,18.5,7,0,0,,,,,
10/8/1984,20.5,11,0.04,0,,,,,
10/9/1984,23,13,0.02,0,,Heavy fog,,,
10/10/1984,25,11,0.01,0,,Heavy fog,,,
10/11/1984,23,10,0.01,0,,Heavy fog,,,
10/12/1984,23,10,0,0,,Heavy fog,,,
10/13/1984,24.5,4,0,0,,,,,
10/14/1984,25,2,0.01,0,,,,,
10/15/1984,22,2,0.7,0,,,,,
10/16/1984,22.5,12,0.01,0,,,,,
10/17/1984,21.5,14,0.05,0,,,,,
10/18/1984,27,11,0.01,0,,,,,
10/19/1984,28,12,0.06,0,,,,,
10/20/1984,23.5,15,0.01,0,,,,,
10/21/1984,29.5,12,0.01,0,,,,,
10/22/1984,26,16,0.21,0,,,,,
10/23/1984,17.5,15.5,0.54,0,,,,,
10/24/1984,14.5,10,0.03,0,,,,,
10/25/1984,20,10.5,0.01,0,,,,,
10/26/1984,29.5,11.5,0,0,,,,,
10/27/1984,29.5,12,0,0,,,,,
10/28/1984,31,12,0.6,0,,,,,
10/29/1984,26.5,16,0.01,0,,,,,
10/30/1984,22,8,0,0,,,,,
10/31/1984,24,7,0,0,,,,,
11/1/1984,19,7,0.03,0,,,,,
11/2/1984,12.5,10.5,0.01,0,,,,,
11/3/1984,11,-4,0,0,,,,,
11/4/1984,15,-1,0.5,0,,,,,
11/5/1984,32,9,0.05,0,,,,,
11/6/1984,13.5,3,0.01,0,,,,,
11/7/1984,12,-1,0,0,,,,,
11/8/1984,11.5,-5.5,0,0,,,,,
11/9/1984,16,-2,0.01,0,,,,,
11/10/1984,20.5,2.5,0.03,0,,,,,
11/11/1984,14,11,0.01,0,,,,,
11/12/1984,7.5,-2,0,0,,,,,
11/13/1984,10,0,0,0,,,,,
11/14/1984,14,-7,0,0,,,,,
11/15/1984,17,-5,0,0,,,,,
11/16/1984,16,2.5,0,0,,,,,
11/17/1984,11,-7,0,0,,,,,
11/18/1984,8,-3,0.58,0,,,,,
11/19/1984,4.5,0,0.02,0,,,,,
11/20/1984,3.5,-6,0,0,,,,,
11/21/1984,5.5,-6,0,0,,,,,
11/22/1984,7,-10,0,0,,,,,
11/23/1984,13,-8.5,0,0,,,,,
11/24/1984,16,-7,0,0,,,,,
11/25/1984,18,-1,0,0,,,,,
11/26/1984,18,-6,0,0,,,,,
11/27/1984,19,-4.5,0.05,0,,,,,
11/28/1984,17.5,7,1.85,0,,,,,
11/29/1984,14,10,0.03,0,,,,,
11/30/1984,13.5,-6,0.01,0,,,,,
12/1/1984,14,-7,0,0,,,,,
12/2/1984,13,-5,0.03,0,,,,,
12/3/1984,14.5,4,0,0,,,,,
12/4/1984,6.5,-6,0,0,,,,,
12/5/1984,4,-1,0.6,0.25,,1/4 inch  snow, freezing rain, sleet,
12/6/1984,3,-1,0,0,,,,,
12/7/1984,3.5,-5,0,0,,,,,
12/8/1984,10.5,-7.5,0,0,,,,,
12/9/1984,9.5,-1,0,0,,,,,
12/10/1984,10,-4,0,0,,,,,
12/11/1984,11,-3,0,0,,,,,
12/12/1984,17.5,-3,0.01,0,,Readings taken at 1:30 p.m., Heavy a.m. fog,,
12/13/1984,24,-1,0.01,0,,,,,
12/14/1984,14,9.5,0,0,,,,,
12/15/1984,20.5,-7,0,0,,,,,
12/16/1984,20,6,0,0,,,,,
12/17/1984,24.5,3,0,0,,,,,
12/18/1984,19.5,5.5,0.13,0,,,,,
12/19/1984,15,4.5,0.01,0,,,,,
12/20/1984,13,-1.5,0.16,0,,,,,
12/21/1984,17,2,0.09,0,,,,,
12/22/1984,18,2,0.01,0,,,,,
12/23/1984,11,-4,0,0,,Readings taken at 9:00 a.m.,,,
12/24/1984,12,-5,0.04,0,,,,,
12/25/1984,9,-2,0.01,0,,,,,
12/26/1984,9,-9,0.01,0,,,,,
12/27/1984,19,-2,0,0,,,,,
12/28/1984,22,1.5,0,0,,,,,
12/29/1984,26,8,0.07,0,,,,,
12/30/1984,11,9,0.03,0,,,,,
12/31/1984,17,3.5,0.02,0,,,,,
1/1/1985,21,4,0.02,0,,,,,
1/2/1985,8,5,0.4,0,,Readings taken at 11:30 a.m.,,,
1/3/1985,7,-1,0.11,0,,1/8 inch  sleet,,,
1/4/1985,2,2,0.4,0,,Freezing rain,,,
1/5/1985,4,-2,0.38,2,,,,,
1/6/1985,9,-5,0,0,,,,,
1/7/1985,8,-3,0,0,,,,,
1/8/1985,4,1,0,0,,,,,
1/9/1985,0,-9,0,0,,,,,
1/10/1985,-2,-7,0.05,0.5,,,,,
1/11/1985,0,-5,0,1,,,,,
1/12/1985,1,-15,0,0,,High winds,,,
1/13/1985,7,-7,0,0,,,,,
1/14/1985,10,-7,0,0,,,,,
1/15/1985,-2,-3,0,0,,,,,
1/16/1985,1,-14,0,0,,,,,
1/17/1985,-1,-8,0.13,1.5,,,,,
1/18/1985,2,-4,0,0,,Snow flurries,,,
1/19/1985,4,-4,0.02,0,,Readings taken at 9:00 a.m.,,,
1/20/1985,-14,-17,0,0,,,,,
1/21/1985,-3,-23,0,0,,,,,
1/22/1985,0,-15,0,0,,,,,
1/23/1985,4,-11,0,0,,,,,
1/24/1985,5,-8,0,0,,Readings taken at 11:00 a.m.,,,
1/25/1985,6,-1,0.02,0.5,,Snow squall, Thunder,,
1/26/1985,-0.5,-9,0,0,,,,,
1/27/1985,4.5,12,0,0,,,,,
1/28/1985,4,-7,0,0,,,,,
1/29/1985,3,-6,0,0,,,,,
1/30/1985,4,-13,0,0,,,,,
1/31/1985,5,-4,0.2,2.5,,Snow changed to rain at mid morning,,,
2/1/1985,2,0,0.64,0,,,,,
2/2/1985,-0.5,-2,0.6,1,,,,,
2/3/1985,-1.5,-10,0.04,0.01,,,,,
2/4/1985,1,-15.5,0,0,,,,,
2/5/1985,0,-11,0,0,,,,,
2/6/1985,5,-4,0.14,0,,Sleet,,,
2/7/1985,2,-6,0,0,,,,,
2/8/1985,-4,-12,0,0,,,,,
2/9/1985,0,-14,0,0,,,,,
2/10/1985,5.5,-10,0,0,,,,,
2/11/1985,9,-6.5,0,0,,,,,
2/12/1985,10,-2,2.25,0,,,,,
2/13/1985,15,-2,0.15,0,,,,,
2/14/1985,5,-6,0,0,,,,,
2/15/1985,2.5,-8,0.02,0,,,,,
2/16/1985,4,-11,0,0,,,,,
2/17/1985,10,-6,0,0,,,,,
2/18/1985,11,-4,0,0,,,,,
2/19/1985,11,2,0,0,,,,,
2/20/1985,11,-7,0,0,,,,,
2/21/1985,15,-7,0,0,,,,,
2/22/1985,19,5,0,0,,,,,
2/23/1985,24,5,0,0,,,,,
2/24/1985,28,8,0,0,,,,,
2/25/1985,13,8,0,0,,,,,
2/26/1985,17,5,0.07,0,,,,,
2/27/1985,13,0,0,0,,,,,
2/28/1985,12,-6,0.01,0,,,,,
3/1/1985,15,-6,0,0,,,,,
3/2/1985,17,1,0,0,,Readings taken at 8:30 a.m.,,,
3/3/1985,12,-4,0,0,,Readings taken at 9:30 a.m.,,,
3/4/1985,17,2,0,0,,,,,
3/5/1985,18,1,0,0,,,,,
3/6/1985,6,-11,0,0,,,,,
3/7/1985,17,-8,0,0,,Readings taken at 11:00 a.m.,,,
3/8/1985,20,3,0,0,,,,,
3/9/1985,17,4,0,0,,,,,
3/10/1985,17.5,-2,0,0,,,,,
3/11/1985,15,-1.5,0,0,,Readings taken at 9:30 a.m.,,,
3/12/1985,12.5,6,0.12,0,,High winds (Min. temp. taken from a diff. thermom.,,,
3/13/1985,18,2,0,0,,(Min. temp. taken from a diff. thermom.,,,
3/14/1985,14.5,7,0,0,,,,,
3/15/1985,11.5,1,0,0,,,,,
3/16/1985,15,-5,0,0,,Readings taken at 11:30 a.m.,,,
3/17/1985,10.5,4,0,0,,,,,
3/18/1985,6.5,-5.5,0,0,,,,,
3/19/1985,17.5,-10,0,0,,,,,
3/20/1985,19,4,0,0,,,,,
3/21/1985,9,-3,0.01,0,,,,,
3/22/1985,3,0,0.07,0,,,,,
3/23/1985,5.5,0,1.05,0,,,,,
3/24/1985,7.5,2,0.62,0,,,,,
3/25/1985,11,1.5,0.19,0,,,,,
3/26/1985,20,-5,0.02,0,,,,,
3/27/1985,25,-1,0,0,,,,,
3/28/1985,28.5,9,0,0,,,,,
3/29/1985,26,13,0.03,0,,,,,
3/30/1985,11.5,9,0.15,0,,,,,
3/31/1985,9,5,0.02,0,,,,,
4/1/1985,15,3,0.15,0,,,,,
4/2/1985,10.5,0,0.01,0,,,,,
4/3/1985,17,-3,0.01,0,,,,,
4/4/1985,24.5,0,0,0,,,,,
4/5/1985,28.5,4,0,0,,,,,
4/6/1985,17.5,11,0,0,,Readings taken at 9:00 a.m.,,,
4/7/1985,14.5,1,0,0,,,,,
4/8/1985,10,-4,0,0,,,,,
4/9/1985,5.5,-4,0.01,0.5,,Snow depth measured at 8:00 a.m.,,,
4/10/1985,16,-10,0,0,,,,,
4/11/1985,19,0,0.01,0,,,,,
4/12/1985,24,0,0,0,,,,,
4/13/1985,25,6,0,0,,,,,
4/14/1985,22.5,10,0,0,,,,,
4/15/1985,19.5,12,0,0,,Readings taken at 11:30 a.m.,,,
4/16/1985,24,8,0.03,0,,,,,
4/17/1985,21,5,0.02,0,,,,,
4/18/1985,30,0,0,0,,,,,
4/19/1985,32,4,0,0,,,,,
4/20/1985,32,10,0,0,,,,,
4/21/1985,32.5,10,0,0,,Readings taken at 9:30 a.m.,,,
4/22/1985,33.5,10,0,0,,,,,
4/23/1985,29,12,0,0,,,,,
4/24/1985,20.5,12,0,0,,,,,
4/25/1985,26,11,0.09,0,,,,,
4/26/1985,30,12,0,0,,,,,
4/27/1985,28.5,11,0,0,,,,,
4/28/1985,24,13,0.02,0,,,,,
4/29/1985,22.5,3,0,0,,,,,
4/30/1985,29,2,0,0,,,,,
5/1/1985,31,8,0,0,,,,,
5/2/1985,16,12,0,0,,,,,
5/3/1985,18,2,0.86,0,,Readings taken at noon,,,
5/4/1985,22.5,-0.5,0.01,0,,,,,
5/5/1985,28,7,0,0,,,,,
5/6/1985,28,10,0,0,,,,,
5/7/1985,20,13,0,0,,,,,
5/8/1985,26,4,0,0,,,,,
5/9/1985,26,4,0,0,,,,,
5/10/1985,29,9,0,0,,,,,
5/11/1985,30.5,12,0,0,,,,,
5/12/1985,29,16,0,0,,,,,
5/13/1985,31.5,10.5,0.52,0,,,,,
5/14/1985,29,11,0.01,0,,,,,
5/15/1985,20,14,0.01,0,,,,,
5/16/1985,21,15,0.16,0,,,,,
5/17/1985,19,12,0.76,0,,,,,
5/18/1985,19,9,0.24,0,,,,,
5/19/1985,25,4,0.02,0,,,,,
5/20/1985,29.5,6.5,0,0,,Readings taken at 9:30 a.m.,,,
5/21/1985,28,16.5,0,0,,,,,
5/22/1985,23,13,0,0,,,,,
5/23/1985,17,12,1.1,0,,,,,
5/24/1985,22,11,0.13,0,,,,,
5/25/1985,27,9,0.01,0,,,,,
5/26/1985,30,10,0,0,,,,,
5/27/1985,31,11,0,0,,,,,
5/28/1985,28,15,0,0,,,,,
5/29/1985,20,8,0.44,0,,readings taken at 9:30 a.m.,,,
5/30/1985,23,11,0.01,0,,,,,
5/31/1985,27,15,1.35,0,,,,,
6/1/1985,28.5,18,0.1,0,,,,,
6/2/1985,29.5,12,0.01,0,,,,,
6/3/1985,29.5,13,0,0,,,,,
6/4/1985,25.5,17,0,0,,,,,
6/5/1985,26.5,18,0.05,0,,Readings taken at 11:00 a.m.,,,
6/6/1985,27,16,0.33,0,,,,,
6/7/1985,21.5,11,0.01,0,,,,,
6/8/1985,29,15,0.36,0,,,,,
6/9/1985,30,15,0.01,0,,,,,
6/10/1985,32,19,0,0,,,,,
6/11/1985,28.5,14,0,0,,,,,
6/12/1985,25.5,20,0.18,0,,,,,
6/13/1985,20,11,0.01,0,,,,,
6/14/1985,24.5,5,0,0,,,,,
6/15/1985,24,8,0,0,,Readings taken at 9:30 a.m.,,,
6/16/1985,28,15,0.02,0,,,,,
6/17/1985,31,15,0.02,0,,,,,
6/18/1985,28,17,0.04,0,,,,,
6/19/1985,26,14,0,0,,,,,
6/20/1985,25,11,0.01,0,,,,,
6/21/1985,27,8,0.16,0,,,,,
6/22/1985,30,11,0.01,0,,,,,
6/23/1985,31,15,0.01,0,,,,,
6/24/1985,33,16,0.4,0,,,,,
6/25/1985,30,11.5,0.01,0,,,,,
6/26/1985,25.5,10,0,0,,,,,
6/27/1985,25.5,6,0,0,,,,,
6/28/1985,27.5,9,0.01,0,,,,,
6/29/1985,29.5,11,0,0,,,,,
6/30/1985,28.5,12,0,0,,,,,
7/1/1985,24,17,0.05,0,,,,,
7/2/1985,27,15,0.01,0,,,,,
7/3/1985,29.5,1.2,0.76,0,,,,,
7/4/1985,30,15,0.02,0,,,,,
7/5/1985,31,14.5,0,0,,,,,
7/6/1985,28,19,0,0,,,,,
7/7/1985,29,15,0.12,0,,,,,
7/8/1985,33,16,0.03,0,,,,,
7/9/1985,33,17,0.16,0,,,,,
7/10/1985,30,18,0.03,0,,,,,
7/11/1985,31,24,0.18,0,,,,,
7/12/1985,31,18,0.1,0,,,,,
7/13/1985,32.5,1.5,0.02,0,,,,,
7/14/1985,34,17,0.6,0,,,,,
7/15/1985,34,14,0.58,0,,,,,
7/16/1985,31,20,0.34,0,,,,,
7/17/1985,28,12,0.02,0,,,,,
7/18/1985,30,10,0,0,,,,,
7/19/1985,33,13,0,0,,,,,
7/20/1985,33,16,0,0,,,,,
7/21/1985,32,17,0,0,,,,,
7/22/1985,30.5,22,0.01,0,,,,,
7/23/1985,27,15,0,0,,,,,
7/24/1985,30,10,0,0,,,,,
7/25/1985,31,17,0,0,,,,,
7/26/1985,32,20,0.44,0,,,,,
7/27/1985,29,8,1.05,0,,,,,
7/28/1985,30,14,0.02,0,,,,,
7/29/1985,30.5,15,0,0,,,,,
7/30/1985,33,18,0,0,,,,,
7/31/1985,30.5,21,0,0,,,,,
8/1/1985,22,19,0.03,0,,,,,
8/2/1985,27,14,0.01,0,,,,,
8/3/1985,28.5,9,0,0,,,,,
8/4/1985,29.5,10,0,0,,,,,
8/5/1985,28,12,0,0,,,,,
8/6/1985,29,16,0,0,,,,,
8/7/1985,31,15,0.32,0,,,,,
8/8/1985,30,19,0.01,0,,,,,
8/9/1985,31,15,0,0,,,,,
8/10/1985,32,15,0,0,,,,,
8/11/1985,33,16,0,0,,,,,
8/12/1985,31,15,0.01,0,,,,,
8/13/1985,36,16,0,0,,,,,
8/14/1985,37,19,0,0,,,,,
8/15/1985,36,19,0,0,,,,,
8/16/1985,30.5,18,0,0,,,,,
8/17/1985,28.5,18,0.05,0,,Readings taken at 9:30 a.m.,,,
8/18/1985,22.5,16,0.42,0,,,,,
8/19/1985,30,11.5,0.36,0,,,,,
8/20/1985,27.5,17,0.01,0,,,,,
8/21/1985,26,19,0.18,0,,,,,
8/22/1985,26,11,0.02,0,,,,,
8/23/1985,28,9,0.01,0,,,,,
8/24/1985,26,11,0,0,,Readings taken at 9:30 a.m.,,,
8/25/1985,23,17.5,0.3,0,,,,,
8/26/1985,30,19,0.05,0,,Readings taken at 9:30 a.m.,,,
8/27/1985,29,19,0.46,0,,,,,
8/28/1985,29.5,13,0.02,0,,,,,
8/29/1985,30,15,0,0,,,,,
8/30/1985,29.5,15,0,0,,,,,
8/31/1985,27,18,0,0,,,,,
9/1/1985,27,11,0,0,,,,,
9/2/1985,32.5,13,0,0,,Readings taken at 9:00 a.m.,,,
9/3/1985,33,17,0,0,,,,,
9/4/1985,35,18,0,0,,,,,
9/5/1985,36,17,0,0,,,,,
9/6/1985,36.5,18,0,0,,,,,
9/7/1985,36,20,0,0,,,,,
9/8/1985,34.5,19,0,0,,readingd taken at 9:30 a.m.,,,
9/9/1985,35,17.5,0.6,0,,,,,
9/10/1985,35,18,0.12,0,,,,,
9/11/1985,24,19,0,0,,,,,
9/12/1985,23,5,0,0,,,,,
9/13/1985,19,3,0,0,,,,,
9/14/1985,22.5,1,0,0,,,,,
9/15/1985,24.5,1,0,0,,,,,
9/16/1985,26,2.5,0,0,,,,,
9/17/1985,27,5,0,0,,,,,
9/18/1985,28,7,0,0,,,,,
9/19/1985,30.5,9,0,0,,,,,
9/20/1985,30.5,10,0,0,,,,,
